Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude,Group 1 Percentile Rank,Group 2 Percentile Rank,Luckiness
Singapore Pools Account Betting Service,98,580,"Central Catchment Nature Reserve, Pan-Island Expressway, Singapore 588186, Singapore",588186.0,Bukit Timah,1.3749916,103.8033,100.0,100.0,10.0
Delisia Agency Pte Ltd,18,79,"Fu Lu Shou Complex, 149 Rochor Road, Singapore 188425, Singapore",188425.0,Rochor,1.3012117,103.8545325,99.71830985915493,99.43661971830986,9.957746478873238
Tong Aik Huat,14,102,"685 Hougang Street 61, Singapore 530685, Singapore",530685.0,Hougang,1.374993,103.8858538,99.29577464788733,99.71830985915493,9.950704225352112
NTUC FP Nex,14,58,"325 Serangoon Avenue 3, Singapore 550325, Singapore",550325.0,Serangoon,1.3506853,103.8694,99.29577464788733,98.45070422535211,9.887323943661972
Singapore Pools Suntec City,13,27,"Suntec City, 3 Temasek Boulevard, Singapore 038983, Singapore",38983.0,Downtown Core,1.295664,103.8585812,98.59154929577466,77.1830985915493,8.788732394366198
Singapore Pools King George's Ave Branch,13,28,"803 King George's Avenue, Singapore 200803, Singapore",200803.0,Kallang,1.3080582,103.8611995,98.59154929577466,79.01408450704224,8.880281690140844
Fatt Chye Heng Trading,13,42,"7 Hougang Avenue 3, Singapore 531376, Singapore",531376.0,Hougang,1.3622768,103.8932954,98.59154929577466,94.50704225352112,9.654929577464788
Tan Wee Fong Trading,12,58,"24 Bendemeer Road, Singapore 330024, Singapore",330024.0,Kallang,1.3185181,103.8625287,97.88732394366197,98.45070422535211,9.816901408450704
Mee Lee Cheong Pte Ltd,12,44,"139 Tampines Street 11, Singapore 521139, Singapore",521139.0,Tampines,1.3460554,103.9446434,97.88732394366197,95.35211267605634,9.661971830985916
Singapore Pools Lor 1 Toa Payoh Branch,11,33,"111 Lorong 1 Toa Payoh, Singapore 310111, Singapore",310111.0,Toa Payoh,1.3412566,103.8456517,97.04225352112677,85.91549295774648,9.147887323943662
Singapore Pools Clementi N7 Branch,11,28,"722 Clementi West Street 2, Singapore 120722, Singapore",120722.0,Clementi,1.302885,103.7637968,97.04225352112677,79.01408450704224,8.802816901408452
NTUC FP Tampines Mall,11,40,"Tampines Mall, 4 Tampines Central 5, Singapore 529509, Singapore",529509.0,Tampines,1.3523484,103.944448,97.04225352112677,92.53521126760563,9.47887323943662
Ng Teo Guan Self Service,11,59,"301 Ubi Avenue 1, Singapore 400301, Singapore",400301.0,Geylang,1.3307113,103.9020287,97.04225352112677,98.87323943661971,9.795774647887324
Singapore Pools Whampoa Dr Branch,10,40,"88 Whampoa Drive, Singapore 320089, Singapore",320089.0,Novena,1.323243,103.8552345,95.35211267605634,92.53521126760563,9.394366197183098
Singapore Pools Tanjong Pagar Branch,10,47,"Tanjong Pagar Plaza, 1 Tanjong Pagar Road, Singapore 082001, Singapore",82001.0,Outram,1.2754372,103.8429027,95.35211267605634,96.61971830985917,9.598591549295776
Singapore Pools Hougang N2 Branch,10,48,"211 Hougang Street 21, Singapore 530211, Singapore",530211.0,Hougang,1.3598611,103.8878231,95.35211267605634,96.90140845070422,9.612676056338028
Singapore Pools Hougang N1 Branch,10,34,"941 Upper Serangoon Road, Singapore 534711, Singapore",534711.0,Hougang,1.3612182,103.8862529,95.35211267605634,87.04225352112675,9.119718309859156
NTUC FP AMK Hub,10,43,"Ang Mo Kio Hub, 53 Ang Mo Kio Avenue 3, Singapore 569933, Singapore",569933.0,Ang Mo Kio,1.3690023,103.8481594,95.35211267605634,94.92957746478872,9.514084507042252
Laura's Gifts,10,25,"442 Pasir Ris Drive 6, Singapore 510442, Singapore",510442.0,Pasir Ris,1.3688937,103.9582616,95.35211267605634,73.80281690140845,8.457746478873238
7-Eleven Yishun Ring Road,10,44,"760 Yishun Avenue 3, Singapore 760774, Singapore",760774.0,Yishun,1.4260651,103.8321027,95.35211267605634,95.35211267605634,9.535211267605634
7-Eleven Eunos Crescent,10,28,"5 Eunos Crescent, Singapore 400005, Singapore",400005.0,Geylang,1.3215159,103.9037403,95.35211267605634,79.01408450704224,8.718309859154928
Tampines Trading 828,9,40,"828 Tampines Street 81, Singapore 520828, Singapore",520828.0,Tampines,1.3488425,103.9352547,92.95774647887323,92.53521126760563,9.274647887323942
Singapore Pools Yishun N1 Branch,9,42,"Yishun Avenue 5, Singapore 768794, Singapore",768794.0,Yishun,1.430368,103.8353628,92.95774647887323,94.50704225352112,9.373239436619718
Singapore Pools Teck Whye Branch,9,31,"141 Teck Whye Lane, Singapore 680141, Singapore",680141.0,Choa Chu Kang,1.3804868,103.7523188,92.95774647887323,83.38028169014085,8.816901408450704
Singapore Pools IMM Branch,9,35,"IMM, 2 Jurong East Street 21, Singapore 609601, Singapore",609601.0,Jurong East,1.334992,103.747156,92.95774647887323,88.02816901408451,9.049295774647888
Singapore Pools Bencoolen Branch,9,39,"The Bencoolen, Seah Street, Singapore 188382, Singapore",188382.0,Downtown Core,1.3019569,103.8531623,92.95774647887323,91.40845070422536,9.21830985915493
Rangoon Provision Shop,9,27,"681 Race Course Road, Singapore 218123, Singapore",218123.0,Kallang,1.3139744,103.8550342,92.95774647887323,77.1830985915493,8.507042253521126
