Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude,Group 1 Z-Score,Group 2 Z-Score,Luckiness Index
Delisia Agency Pte Ltd,18,79,"Fu Lu Shou Complex, 149 Rochor Road, Singapore 188425, Singapore",188425.0,Rochor,1.3012117,103.8545325,4.569420056297056,4.305074923929442,4.437247490113249
Tong Aik Huat,14,102,"685 Hougang Street 61, Singapore 530685, Singapore",530685.0,Hougang,1.374993,103.8858538,3.2982415101837685,5.935472618270272,4.616857064227021
NTUC FP Nex,14,58,"325 Serangoon Avenue 3, Singapore 550325, Singapore",550325.0,Serangoon,1.3506853,103.8694,3.2982415101837685,2.816450942139988,3.0573462261618785
Singapore Pools Suntec City,13,27,"Suntec City, 3 Temasek Boulevard, Singapore 038983, Singapore",38983.0,Downtown Core,1.295664,103.8585812,2.980446873655447,0.6189583975936511,1.799702635624549
Singapore Pools King George's Ave Branch,13,28,"803 King George's Avenue, Singapore 200803, Singapore",200803.0,Kallang,1.3080582,103.8611995,2.980446873655447,0.6898452538693394,1.835146063762393
Fatt Chye Heng Trading,13,42,"7 Hougang Avenue 3, Singapore 531376, Singapore",531376.0,Hougang,1.3622768,103.8932954,2.980446873655447,1.6822612417289753,2.331354057692211
Tan Wee Fong Trading,12,58,"24 Bendemeer Road, Singapore 330024, Singapore",330024.0,Kallang,1.3185181,103.8625287,2.662652237127125,2.816450942139988,2.7395515896335567
Mee Lee Cheong Pte Ltd,12,44,"139 Tampines Street 11, Singapore 521139, Singapore",521139.0,Tampines,1.3460554,103.9446434,2.662652237127125,1.824034954280352,2.2433435957037386
Singapore Pools Lor 1 Toa Payoh Branch,11,33,"111 Lorong 1 Toa Payoh, Singapore 310111, Singapore",310111.0,Toa Payoh,1.3412566,103.8456517,2.3448576005988033,1.0442795352477807,1.694568567923292
Singapore Pools Clementi N7 Branch,11,28,"722 Clementi West Street 2, Singapore 120722, Singapore",120722.0,Clementi,1.302885,103.7637968,2.3448576005988033,0.6898452538693394,1.5173514272340713
NTUC FP Tampines Mall,11,40,"Tampines Mall, 4 Tampines Central 5, Singapore 529509, Singapore",529509.0,Tampines,1.3523484,103.944448,2.3448576005988033,1.5404875291775988,1.942672564888201
Ng Teo Guan Self Service,11,59,"301 Ubi Avenue 1, Singapore 400301, Singapore",400301.0,Geylang,1.3307113,103.9020287,2.3448576005988033,2.8873377984156763,2.6160976995072396
Singapore Pools Whampoa Dr Branch,10,40,"88 Whampoa Drive, Singapore 320089, Singapore",320089.0,Novena,1.323243,103.8552345,2.0270629640704816,1.5404875291775988,1.7837752466240402
Singapore Pools Tanjong Pagar Branch,10,47,"Tanjong Pagar Plaza, 1 Tanjong Pagar Road, Singapore 082001, Singapore",82001.0,Outram,1.2754372,103.8429027,2.0270629640704816,2.036695523107417,2.031879243588949
Singapore Pools Hougang N2 Branch,10,48,"211 Hougang Street 21, Singapore 530211, Singapore",530211.0,Hougang,1.3598611,103.8878231,2.0270629640704816,2.107582379383105,2.067322671726793
Singapore Pools Hougang N1 Branch,10,34,"941 Upper Serangoon Road, Singapore 534711, Singapore",534711.0,Hougang,1.3612182,103.8862529,2.0270629640704816,1.115166391523469,1.5711146777969753
NTUC FP AMK Hub,10,43,"Ang Mo Kio Hub, 53 Ang Mo Kio Avenue 3, Singapore 569933, Singapore",569933.0,Ang Mo Kio,1.3690023,103.8481594,2.0270629640704816,1.7531480980046636,1.8901055310375727
Laura's Gifts,10,25,"442 Pasir Ris Drive 6, Singapore 510442, Singapore",510442.0,Pasir Ris,1.3688937,103.9582616,2.0270629640704816,0.47718468504227457,1.2521238245563782
7-Eleven Yishun Ring Road,10,44,"760 Yishun Avenue 3, Singapore 760774, Singapore",760774.0,Yishun,1.4260651,103.8321027,2.0270629640704816,1.824034954280352,1.925548959175417
7-Eleven Eunos Crescent,10,28,"5 Eunos Crescent, Singapore 400005, Singapore",400005.0,Geylang,1.3215159,103.9037403,2.0270629640704816,0.6898452538693394,1.3584541089699105
Tampines Trading 828,9,40,"828 Tampines Street 81, Singapore 520828, Singapore",520828.0,Tampines,1.3488425,103.9352547,1.7092683275421598,1.5404875291775988,1.6248779283598793
Singapore Pools Yishun N1 Branch,9,42,"Yishun Avenue 5, Singapore 768794, Singapore",768794.0,Yishun,1.430368,103.8353628,1.7092683275421598,1.6822612417289753,1.6957647846355677
Singapore Pools Teck Whye Branch,9,31,"141 Teck Whye Lane, Singapore 680141, Singapore",680141.0,Choa Chu Kang,1.3804868,103.7523188,1.7092683275421598,0.9025058226964042,1.3058870751192821
Singapore Pools IMM Branch,9,35,"IMM, 2 Jurong East Street 21, Singapore 609601, Singapore",609601.0,Jurong East,1.334992,103.747156,1.7092683275421598,1.1860532477991574,1.4476607876706586
Singapore Pools Bencoolen Branch,9,39,"The Bencoolen, Seah Street, Singapore 188382, Singapore",188382.0,Downtown Core,1.3019569,103.8531623,1.7092683275421598,1.4696006729019104,1.5894345002220351
Rangoon Provision Shop,9,27,"681 Race Course Road, Singapore 218123, Singapore",218123.0,Kallang,1.3139744,103.8550342,1.7092683275421598,0.6189583975936511,1.1641133625679054
